Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
Hunts Point Av ,IRT Pelham Line (6),"3,191,706","3,204,779","3,158,343","3,138,131","3,305,563","3,269,585","-35,978",-1.10%,159,The Bronx
Intervale Av ,"IRT White Plains Road Line (2,5)","902,216","937,280","1,048,501","1,095,221","1,039,265","1,061,240","21,975",2.10%,353,The Bronx
Jackson Av ,"IRT White Plains Road Line (2,5)","1,573,302","1,520,612","1,686,061","1,753,555","1,731,638","1,802,193","70,555",4.10%,270,The Bronx
Kingsbridge Rd ,IRT Jerome Avenue Line (4),"3,169,615","3,173,688","3,198,725","3,149,605","3,171,646","3,126,119","-45,527",-1.40%,164,The Bronx
Kingsbridge Rd ,"IND Concourse Line (B,D)","2,275,576","2,255,556","2,390,749","2,562,374","2,530,782","2,566,076","35,294",1.40%,195,The Bronx
Longwood Av ,IRT Pelham Line (6),"1,067,960","1,065,764","1,087,990","1,098,022","1,088,970","1,081,519","-7,451",-0.70%,351,The Bronx
Middletown Rd ,IRT Pelham Line (6),"559,746","566,771","441,950","661,242","795,762","598,447","-197,315",-24.80%,398,The Bronx
Morris Park ,"IRT White Plains Road Line (2,5)","554,320","589,170","631,930","621,945","629,282","677,899","48,617",7.70%,391,The Bronx
Morrison Av-Soundview,IRT Pelham Line (6),"3,028,145","2,057,570","2,096,942","2,125,383","2,097,203","2,135,920","38,717",1.80%,231,The Bronx
Mosholu Pkwy ,IRT Jerome Avenue Line (4),"2,961,522","2,906,150","2,917,501","2,886,764","2,891,451","2,836,370","-55,081",-1.90%,182,The Bronx
Mt Eden Av ,IRT Jerome Avenue Line (4),"1,814,951","1,818,870","1,848,483","1,824,861","1,844,131","1,824,478","-19,653",-1.10%,267,The Bronx
Nereid Av ,"IRT White Plains Road Line (2,5)","1,025,004","1,086,227","1,195,804","1,183,733","1,162,973","1,131,328","-31,645",-2.70%,343,The Bronx
Norwood-205 St ,IND Concourse Line (D),"2,472,094","2,463,462","2,569,581","2,709,761","2,750,124","2,805,984","55,860",2.00%,184,The Bronx
Parkchester-177 St,IRT Pelham Line (6),"4,851,182","4,687,402","5,215,409","5,586,943","5,224,959","5,201,901","-23,058",-0.40%,88,The Bronx
Pelham Bay Park ,IRT Pelham Line (6),"2,062,525","2,030,215","2,096,130","2,318,533","2,337,689","2,208,725","-128,964",-5.50%,224,The Bronx
Pelham Pkwy ,"IRT White Plains Road Line (2,5)","2,701,431","2,882,651","3,028,494","3,084,862","3,066,190","2,955,589","-110,601",-3.60%,174,The Bronx
Pelham Pkwy ,"IRT Dyre Ave Line (2,5)","897,433","923,188","919,689","907,735","894,727","897,374","2,647",0.30%,372,The Bronx
Prospect Av ,"IRT White Plains Road Line (2,5)","2,209,945","2,125,066","2,311,798","2,445,131","2,394,820","2,513,169","118,349",4.90%,200,The Bronx
Simpson St ,"IRT White Plains Road Line (2,5)","2,901,513","2,810,789","3,027,856","3,121,036","3,048,014","3,046,838","-1,176",0.00%,168,The Bronx
St Lawrence Av ,IRT Pelham Line (6),"463,809","1,212,796","1,280,074","1,315,456","1,320,571","1,329,758","9,187",0.70%,322,The Bronx
Tremont Av ,"IND Concourse Line (B,D)","2,772,602","2,791,329","2,952,385","3,130,848","3,155,197","3,213,396","58,199",1.80%,161,The Bronx
Van Cortlandt Park-242 St ,"IRT Broadway Line (1,9)","1,937,333","2,041,551","2,148,667","2,188,428","2,266,986","2,294,482","27,496",1.20%,219,The Bronx
Wakefield-241 St,"IRT White Plains Road Line (2,5)","1,560,698","1,603,076","1,528,793","1,669,608","1,654,707","1,662,337","7,630",0.50%,285,The Bronx
West Farms Sq-East Tremont Av ,"IRT White Plains Road Line (2,5)","2,391,352","2,428,999","2,514,240","2,567,773","2,437,882","2,465,907","28,025",1.10%,203,The Bronx
Westchester Sq-East Tremont Av ,IRT Pelham Line (6),"1,993,343","1,964,525","2,043,649","2,177,402","2,056,555","1,952,473","-104,082",-5.10%,259,The Bronx
Whitlock Av ,IRT Pelham Line (6),"726,747","524,988","534,489","543,798","545,079","571,352","26,273",4.80%,402,The Bronx
Woodlawn,IRT Jerome Avenue Line (4),"2,494,092","2,417,765","2,423,278","2,375,663","2,418,890","2,380,900","-37,990",-1.60%,210,The Bronx
Zerega Av,IRT Pelham Line (6),"825,755","849,815","985,388","599,478","492,883","784,314","291,431",59.10%,385,The Bronx
Brooklyn,,,,,,,,,,,
