Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
Kings Hwy ,"BMT Sea Beach Line (N,W)","1,601,357","1,616,827","1,630,749","1,687,226","1,710,115","475,763","-1,234,352",-72.20%,406,Brooklyn
Kingston Av,"IRT New Lots Ave Line (3,4)","1,519,113","1,515,277","1,545,567","1,564,089","1,573,003","1,560,437","-12,566",-0.80%,300,Brooklyn
Kingston-Throop Avs ,"IND Fulton Street Line (A,C) ","1,659,127","1,703,474","1,834,623","1,887,628","1,992,480","2,031,710","39,230",2.00%,247,Brooklyn
Knickerbocker Av ,BMT Myrtle Ave Line (M),"1,136,213","702,426","1,018,286","1,147,331","1,288,025","1,288,438",413,0.00%,327,Brooklyn
Kosciuszko St ,"BMT Jamaica Line (J,M,Z)","1,468,119","1,482,044","1,515,244","1,521,002","1,593,719","1,661,644","67,925",4.30%,286,Brooklyn
Lafayette Av  ,"IND Fulton Street Line (A,C)","1,556,902","1,582,360","1,638,947","1,617,464","1,631,737","1,639,947","8,210",0.50%,291,Brooklyn
Liberty Av ,"IND Fulton Street Line (A,C)","817,481","796,044","810,031","807,678","858,554","920,826","62,272",7.30%,370,Brooklyn
Livonia Av ,BMT Canarsie Line (L),"829,015","902,860","934,287","987,560","1,001,522","1,045,593","44,071",4.40%,358,Brooklyn
Lorimer St,"BMT Jamaica Line (J,M,Z)","1,470,761","1,494,085","1,523,986","1,500,980","1,614,154","1,595,826","-18,328",-1.10%,295,Brooklyn
Lorimer St/Metropolitan Av ,BMT Canarsie Line (L) & IND Crosstown Line (G),"4,479,022","4,643,512","5,040,719","5,090,344","5,238,736","5,156,893","-81,843",-1.60%,90,Brooklyn
Marcy Av ,"BMT Jamaica Line (J,M,Z)","3,609,981","3,564,065","3,681,903","3,953,628","4,204,877","4,272,443","67,566",1.60%,115,Brooklyn
Montrose Av ,BMT Canarsie Line (L),"1,983,449","2,075,901","2,178,772","2,335,128","2,334,271","2,338,095","3,824",0.20%,215,Brooklyn
Morgan Av ,BMT Canarsie Line (L),"2,114,813","2,262,826","2,373,595","2,513,823","2,453,723","2,614,617","160,894",6.60%,193,Brooklyn
Myrtle Av ,"BMT Jamaica Line (J,M,Z)","3,155,344","3,257,338","3,562,631","3,523,740","3,687,468","3,764,562","77,094",2.10%,136,Brooklyn
Myrtle-Willoughby Avs ,IND Crosstown Line (G),"1,383,197","1,440,313","1,578,243","1,722,392","1,875,988","1,887,369","11,381",0.60%,260,Brooklyn
Myrtle-Wyckoff Avs ,BMT Canarsie Line (L) & BMT Myrtle Ave Line (M),"5,358,434","5,662,633","5,982,615","6,381,800","6,464,630","6,531,453","66,823",1.00%,66,Brooklyn
Nassau Av ,IND Crosstown Line (G),"2,396,169","2,479,649","2,653,526","2,760,220","2,916,005","2,851,899","-64,106",-2.20%,181,Brooklyn
Neck Rd ,BMT Brighton Line (Q),"1,242,661","1,148,708","1,218,313","1,232,947","1,305,776","1,336,596","30,820",2.40%,321,Brooklyn
Neptune Av ,BMT Culver Line (F),"536,991","505,076","523,554","512,828","531,011","513,566","-17,445",-3.30%,405,Brooklyn
Nevins St ,"IRT Eastern Parkway Line (2,3,4,5)","3,524,471","3,454,621","3,477,861","3,580,156","3,310,625","3,220,745","-89,880",-2.70%,160,Brooklyn
New Lots Av ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","1,954,353","1,857,630","1,975,478","2,038,532","2,155,220","2,065,205","-90,015",-4.20%,240,Brooklyn
New Lots Av ,BMT Canarsie Line (L),"1,304,384","1,379,065","1,499,902","1,583,983","1,595,607","1,645,273","49,666",3.10%,289,Brooklyn
New Utrecht Av/62 St ,"BMT West End Line (D,M) & BMT Sea Beach Line (N,W)","1,768,935","1,931,306","1,654,945","1,716,638","1,857,740","1,784,812","-72,928",-3.90%,273,Brooklyn
Newkirk Av ,"IRT Nostrand Ave Line (2,5)","2,352,060","2,279,365","2,393,978","2,431,300","2,476,287","2,395,551","-80,736",-3.30%,208,Brooklyn
Newkirk Plaza ,"BMT Brighton Line (B,Q) ","2,999,870","3,021,079","3,380,559","3,302,958","3,432,907","3,315,748","-117,159",-3.40%,154,Brooklyn
Norwood Av ,"BMT Jamaica Line (J,Z)","1,065,062","1,097,011","1,095,573","1,145,643","1,159,274","1,146,658","-12,616",-1.10%,342,Brooklyn
Nostrand Av ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","1,324,424","1,313,227","1,327,377","1,358,826","1,386,067","1,358,853","-27,214",-2.00%,317,Brooklyn
Nostrand Av ,"IND Fulton Street Line (A,C)","5,139,201","5,283,444","5,510,841","5,439,806","5,762,163","5,861,658","99,495",1.70%,75,Brooklyn
Ocean Pkwy ,BMT Brighton Line (Q) ,"1,033,582","983,972","990,091","969,271","1,022,215","1,016,458","-5,757",-0.60%,361,Brooklyn
Park Pl ,BMT Franklin Ave Shuttle (S),"707,253","682,438","646,934","608,731","602,858","576,122","-26,736",-4.40%,401,Brooklyn
Parkside Av ,BMT Brighton Line (Q) ,"2,098,007","1,812,362","1,381,093","1,617,878","1,692,567","1,783,716","91,149",5.40%,274,Brooklyn
Pennsylvania Av ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","1,805,956","1,690,851","1,752,108","1,746,438","2,111,790","753,493","-1,358,297",-64.30%,387,Brooklyn
President St ,"IRT Nostrand Ave Line (2,5)","1,133,831","1,142,008","1,216,019","1,221,048","1,243,976","1,226,582","-17,394",-1.40%,332,Brooklyn
Prospect Av ,"BMT 4th Ave Line (D,M,N,R,W)","1,930,101","1,864,725","1,826,064","1,827,271","1,785,990","1,758,711","-27,279",-1.50%,278,Brooklyn
Prospect Park ,"BMT Brighton Line (B,Q) & BMT Franklin Ave Shuttle (S)","2,815,199","2,892,200","3,190,679","3,312,727","3,327,301","3,272,810","-54,491",-1.60%,158,Brooklyn
Ralph Av ,"IND Fulton Street Line (A,C)","1,585,546","1,625,548","1,719,602","1,787,157","1,867,793","1,863,036","-4,757",-0.30%,262,Brooklyn
Rockaway Av ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","1,792,136","1,682,755","1,753,354","1,763,824","526,505","1,534,978","1,008,473",191.50%,302,Brooklyn
Rockaway Av ,"IND Fulton Street Line (A,C)","1,548,571","1,574,733","1,615,457","1,641,268","1,721,297","1,786,802","65,505",3.80%,272,Brooklyn
Saratoga Av ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","1,743,578","1,676,421","1,777,399","1,791,700","2,442,282","1,208,956","-1,233,326",-50.50%,336,Brooklyn
Sheepshead Bay ,"BMT Brighton Line (B,Q)","4,096,449","4,148,629","4,205,275","4,201,776","4,296,566","4,322,837","26,271",0.60%,113,Brooklyn
Shepherd Av ,"IND Fulton Street Line (A,C)","930,613","945,113","988,620","1,027,404","1,059,106","1,059,144",38,0.00%,354,Brooklyn
Smith-9 Sts ,"IND Culver Line (F,G)","577,571",0,"926,087","1,539,209","1,636,221","1,533,167","-103,054",-6.30%,303,Brooklyn
Sterling St ,"IRT Nostrand Ave Line (2,5)","1,787,824","1,803,628","1,866,122","1,785,975","1,822,524","1,805,238","-17,286",-0.90%,269,Brooklyn
Sutter Av ,BMT Canarsie Line (L),"1,303,422","1,383,957","1,449,524","1,499,122","1,453,567","1,435,112","-18,455",-1.30%,310,Brooklyn
Sutter Av-Rutland Rd ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","2,370,949","2,288,256","2,419,794","2,467,381","2,420,464","2,035,027","-385,437",-15.90%,246,Brooklyn
Union St ,"BMT 4th Ave Line (D,M,N,R,W)","2,228,520","2,148,505","2,058,555","2,065,047","2,073,096","2,024,863","-48,233",-2.30%,249,Brooklyn
Utica Av ,"IND Fulton Street Line (A,C)","4,437,282","4,530,536","4,726,582","4,878,678","5,060,099","5,152,649","92,550",1.80%,91,Brooklyn
Van Siclen Av ,"IRT New Lots Ave Line or Livonia Ave Line (3,4)","1,061,359","1,016,466","1,060,055","1,048,755","304,082","1,250,237","946,155",311.20%,329,Brooklyn
Van Siclen Av ,"IND Fulton Street Line (A,C)","901,530","897,528","941,172","967,947","1,019,100","1,017,779","-1,321",-0.10%,359,Brooklyn
Van Siclen Av ,"BMT Jamaica Line (J,Z)","886,663","893,665","913,115","943,663","966,461","983,370","16,909",1.70%,364,Brooklyn
West 8 St-New York Aquarium ,IND Culver Line (F) & BMT Brighton Line (Q),"814,749","767,921","702,810","741,345","789,416","795,636","6,220",0.80%,382,Brooklyn
Wilson Av ,BMT Canarsie Line (L),"1,093,030","1,115,994","1,243,700","1,393,045","1,407,098","1,219,239","-187,859",-13.40%,335,Brooklyn
Winthrop St ,"IRT Nostrand Ave Line (2,5)","2,173,945","2,171,267","2,275,444","2,263,671","2,241,716","2,146,809","-94,907",-4.20%,229,Brooklyn
York St ,IND 6th Ave Line (F),"2,251,649","2,344,141","2,666,502","2,760,385","2,900,416","3,286,640","386,224",13.30%,157,Brooklyn
Manhattan,,,,,,,,,,,
1 Av ,BMT 14th Street Line (L),"7,050,336","7,296,576","7,735,905","8,111,070","7,702,110","7,660,896","-41,214",-0.50%,54,Manhattan
103 St ,"IRT Broadway Line (1,9)","4,302,101","4,366,343","4,427,199","4,199,559","4,258,632","4,290,142","31,510",0.70%,114,Manhattan
103 St ,"IRT Lexington Ave Line (4,6)","4,901,637","4,861,001","5,038,138","5,198,601","4,031,201","4,336,922","305,721",7.60%,112,Manhattan
103 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","1,453,267","1,472,319","1,528,633","1,555,514","1,521,132","1,481,660","-39,472",-2.60%,307,Manhattan
110 St ,"IRT Lexington Ave Line (4,6)","3,771,563","3,740,549","3,841,826","3,955,522","4,209,449","4,196,711","-12,738",-0.30%,120,Manhattan
116 St ,"IRT 6th Ave Line or IRT Lenox Ave Line (2,3)","3,439,949","3,584,234","3,715,803","3,845,140","3,948,545","3,874,037","-74,508",-1.90%,132,Manhattan
116 St ,"IRT Lexington Ave Line (4,6)","5,253,753","5,264,035","5,347,692","5,370,343","5,324,072","5,336,694","12,622",0.20%,84,Manhattan
116 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","1,944,599","2,000,033","2,122,084","2,234,662","2,246,138","2,276,196","30,058",1.30%,220,Manhattan
116 St-Columbia University ,"IRT Broadway Line (1,9)","4,932,065","4,942,022","5,044,561","4,917,691","4,846,181","4,797,152","-49,029",-1.00%,100,Manhattan
125 St ,"IRT Broadway Line (1,9)","2,438,449","2,560,513","2,649,847","2,578,729","2,555,321","2,524,125","-31,196",-1.20%,198,Manhattan
125 St ,"IRT 6th Ave Line or IRT Lenox Ave Line (2,3)","4,518,487","4,635,697","4,917,465","5,103,216","5,121,518","4,989,981","-131,537",-2.60%,96,Manhattan
125 St ,"IRT Lexington Ave Line (4,5,6)","8,868,272","8,965,496","9,290,210","9,574,765","9,586,567","9,431,163","-155,404",-1.60%,35,Manhattan
125 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C,D)","8,173,608","8,427,453","8,932,680","9,342,667","9,558,837","9,603,878","45,041",0.50%,33,Manhattan
135 St ,"IRT 6th Ave Line or IRT Lenox Ave Line (2,3)","4,344,677","4,477,110","4,672,352","4,932,623","4,949,583","4,867,017","-82,566",-1.70%,98,Manhattan
135 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","1,575,802","1,633,467","1,722,204","1,731,602","1,693,561","1,731,460","37,899",2.20%,282,Manhattan
137 St-City College ,"IRT Broadway Line (1,9)","4,546,654","4,634,498","4,825,267","4,542,044","4,646,578","4,564,432","-82,146",-1.80%,106,Manhattan
14 St/8 Av ,"IND 8th Ave Line (A,C,E) & BMT 14th Street Line (L)","12,415,290","13,044,037","13,903,211","14,340,856","14,763,727","14,572,075","-191,652",-1.30%,19,Manhattan
14 St/6 Av ,"IRT 7th Ave Line (1,2,3) & IND 6th Ave Line (F,V) & BMT 14th Street Line (L)","15,199,211","15,487,097","15,844,699","16,215,866","16,121,318","16,118,952","-2,366",0.00%,16,Manhattan
14 St-Union Sq ,"IRT Lexington Ave Line (4,5,6)","34,927,178","34,639,575","35,309,414","35,677,468","35,320,623","34,289,822","-1,030,801",-2.90%,4,Manhattan
145 St ,"IRT Broadway Line (1,9)","3,138,419","3,289,827","3,274,106","3,364,151","3,338,110","3,328,994","-9,116",-0.30%,152,Manhattan
145 St ,IRT 6th Ave Line or IRT Lenox Ave Line (3),"981,914","1,014,623","1,073,259","1,114,674","1,137,484","1,086,105","-51,379",-4.50%,350,Manhattan
145 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C,D)","6,948,193","7,048,936","7,432,177","7,778,992","7,923,696","7,949,593","25,897",0.30%,50,Manhattan
155 St ,"IND Concourse Line (B,D)","1,248,295","1,257,551","1,281,168","1,299,098","1,306,282","1,308,981","2,699",0.20%,325,Manhattan
155 St ,"IND 8th Ave Line (A,C)","792,465","798,881","822,333","852,716","842,826","881,431","38,605",4.60%,373,Manhattan
157 St ,IRT Broadway Line (1),"3,259,408","3,381,015","3,458,058","3,481,873","3,516,545","3,542,519","25,974",0.70%,145,Manhattan
163 St-Amsterdam Av ,"IND 8th Ave Line (A,C)","1,221,336","1,230,018","1,317,493","1,390,615","1,395,260","1,450,668","55,408",4.00%,309,Manhattan
168 St ,"IND 8th Ave Line (A,C) & IRT Broadway Line (1,9)","7,500,154","7,503,282","7,884,456","8,090,476","8,009,233","8,217,661","208,428",2.60%,45,Manhattan
175 St ,IND 8th Ave Line (A),"4,029,936","4,028,015","4,154,792","4,187,473","4,197,373","4,049,645","-147,728",-3.50%,126,Manhattan
18 St ,"IRT 7th Ave Line (1,2,9)","2,497,134","2,533,877","2,585,522","2,622,558","2,676,304","2,687,128","10,824",0.40%,190,Manhattan
181 St ,"IRT Broadway Line (1,9)","3,171,483","3,496,979","3,608,658","3,751,020","3,779,275","3,772,385","-6,890",-0.20%,135,Manhattan
181 St ,IND 8th Ave Line (A),"3,245,786","3,242,555","3,309,493","3,456,161","3,628,174","3,459,170","-169,004",-4.70%,147,Manhattan
190 St ,IND 8th Ave Line (A),"1,445,656","1,473,807","1,472,564","1,458,911","1,530,460","1,460,194","-70,266",-4.60%,308,Manhattan
191 St ,"IRT Broadway Line (1,9)","2,318,562","2,512,719","2,598,961","2,700,904","2,713,440","2,730,419","16,979",0.60%,187,Manhattan
2 Av ,"IND 6th Ave Line (F,V)","5,728,217","5,706,955","5,999,079","5,772,265","5,847,710","5,772,537","-75,173",-1.30%,76,Manhattan
207 St ,"IRT Broadway Line (1,9)","2,054,287","2,205,288","1,966,949","2,049,587","2,090,297","2,148,169","57,872",2.80%,228,Manhattan
215 St ,IRT Broadway Line (1),"583,486","599,790","638,224","626,312","615,177","636,441","21,264",3.50%,395,Manhattan
23 St ,"IRT 7th Ave Line (1,2,9)","4,622,230","4,654,520","4,818,903","4,883,773","4,884,678","4,703,374","-181,304",-3.70%,102,Manhattan
23 St ,"IRT Lexington Ave Line (4,6)","8,999,142","8,901,705","9,200,337","9,033,835","8,627,481","8,539,378","-88,103",-1.00%,43,Manhattan
23 St ,"IND 8th Ave Line (A,C,E)","7,001,778","7,155,940","7,629,811","7,923,005","7,844,508","7,543,246","-301,262",-3.80%,57,Manhattan
23 St ,"IND 6th Ave Line (F,V)","7,911,886","8,078,511","8,446,249","8,678,810","8,942,154","8,989,195","47,041",0.50%,38,Manhattan
23 St ,"BMT Broadway Line (N,Q,R,W)","6,659,479","6,805,210","6,905,704","7,348,879","7,965,410","8,151,328","185,918",2.30%,47,Manhattan
28 St ,"IRT 7th Ave Line (1,2,9)","4,093,901","4,346,501","4,548,738","4,666,347","4,665,377","4,544,976","-120,401",-2.60%,107,Manhattan
28 St ,"IRT Lexington Ave Line (4,6)","6,741,400","6,688,570","7,076,992","7,107,083","7,214,293","7,161,164","-53,129",-0.70%,60,Manhattan
28 St ,"BMT Broadway Line (N,Q,R,W)","3,297,714","3,413,315","3,520,209","3,796,977","4,083,143","4,205,109","121,966",3.00%,119,Manhattan
3 Av L subway,BMT 14th Street Line (L),"2,048,408","2,182,023","2,310,062","2,473,561","2,386,533","2,449,392","62,859",2.60%,204,Manhattan
33 St 6 subway,"IRT Lexington Ave Line (4,6)","9,220,240","9,374,676","9,756,409","9,798,598","9,701,723","9,577,123","-124,600",-1.30%,34,Manhattan
34 St-Herald Square ,"IND 6th Ave Line (B,D,F,V) & BMT Broadway Line (N,Q,R,W)","37,731,386","37,154,138","38,213,448","39,285,568","39,541,865","39,000,352","-541,513",-1.40%,3,Manhattan
34 St-Hudson Yards ,IRT Queensboro Line (7),0,0,0,0,"692,165","2,691,851","1,999,686",288.90%,189,Manhattan
34 St-Penn Station ,"IRT 7th Ave Line (1,2,3,9)","26,758,623","27,010,176","27,730,331","28,638,643","28,309,160","27,741,367","-567,793",-2.00%,5,Manhattan
34 St-Penn Station ,"IND 8th Ave Line (A,C,E)","24,751,771","24,851,746","25,726,374","26,493,571","26,147,434","25,183,869","-963,565",-3.70%,6,Manhattan
42 St-Bryant Pk/5 Av ,"IND 6th Ave Line (B,D,F,V) & IRT Queensboro Line (7)","14,752,187","14,917,245","15,527,439","15,896,805","16,220,605","16,934,142","713,537",4.40%,15,Manhattan
47-50 Sts-Rockefeller Center ,"IND 6th Ave Line (B,D,F,V)","17,466,013","17,091,251","17,759,382","18,236,646","18,469,446","18,086,203","-383,243",-2.10%,13,Manhattan
49 St ,"BMT Broadway Line (N,Q,R,W)","8,121,552","8,186,576","8,155,010","8,544,694","8,029,988","8,754,627","724,639",9.00%,41,Manhattan
5 Av-53 St ,"IND Queens Blvd Line (E,V)","6,519,696","6,744,422","7,298,061","7,543,062","7,597,212","7,240,517","-356,695",-4.70%,59,Manhattan
5 Av-59 St ,"BMT Broadway Line (N,R,W)","5,893,657","5,941,836","5,927,685","6,155,019","6,017,047","5,929,715","-87,332",-1.50%,74,Manhattan
50 St ,"IRT Broadway Line (1,2,9)","7,647,852","7,927,578","8,074,270","8,450,496","8,266,677","8,157,242","-109,435",-1.30%,46,Manhattan
50 St ,"IND 8th Ave Line (A,C) & IND Queens Blvd Line (E)","5,573,587","5,714,183","6,259,935","6,867,521","6,826,275","6,778,797","-47,478",-0.70%,65,Manhattan
57 St ,IND 6th Ave Line (F),"4,630,781","4,408,190","4,520,733","4,603,639","4,720,245","4,821,309","101,064",2.10%,99,Manhattan
57 St-7 Av ,"BMT Broadway Line (N,Q,R,W)","8,613,792","8,726,980","8,945,751","9,314,649","9,512,090","9,616,547","104,457",1.10%,32,Manhattan
59 St-Columbus Circle ,"IRT Broadway Line (1,2,9) & IND 8th Ave Line or IND Central Park West Line (A,B,C,D)","21,300,892","21,599,586","22,774,421","23,566,961","23,299,666","23,203,443","-96,223",-0.40%,8,Manhattan
66 St-Lincoln Center ,"IRT Broadway Line (1,2,9)","7,089,390","7,367,599","7,527,781","7,772,308","7,790,234","7,606,975","-183,259",-2.40%,56,Manhattan
68 St-Hunter College ,"IRT Lexington Ave Line (4,6)","10,481,234","10,373,302","10,520,477","10,545,971","10,237,854","10,124,694","-113,160",-1.10%,29,Manhattan
7 Av-53 St,"IND 6th Ave Line (B,D) & IND Queens Blvd Line (E)","4,297,779","4,384,090","4,744,808","5,092,341","5,252,615","5,162,589","-90,026",-1.70%,89,Manhattan
72 St ,"IRT Broadway Line (1,2,3,9)","12,784,301","13,043,031","13,456,906","13,375,012","13,341,361","13,257,766","-83,595",-0.60%,22,Manhattan
72 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","2,787,379","2,832,934","2,942,517","3,015,722","2,979,236","2,921,892","-57,344",-1.90%,177,Manhattan
77 St ,"IRT Lexington Ave Line (4,6)","11,163,007","11,109,431","11,167,386","11,454,604","11,014,861","10,927,200","-87,661",-0.80%,28,Manhattan
79 St ,"IRT Broadway Line (1,2,9)","5,330,857","5,292,422","5,438,078","5,601,595","5,534,255","5,371,624","-162,631",-2.90%,83,Manhattan
8 St-New York University,"BMT Broadway Line (N,Q,R,W)","5,779,126","5,663,358","5,379,647","5,635,598","5,894,747","6,030,544","135,797",2.30%,72,Manhattan
81 St-Museum of Natural History ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","4,116,976","4,232,404","4,477,625","4,561,347","4,584,041","4,517,912","-66,129",-1.40%,109,Manhattan
86 St ,"IRT Broadway Line (1,2,9)","6,128,225","6,219,513","6,333,352","6,519,979","6,464,625","6,359,252","-105,373",-1.60%,68,Manhattan
86 St ,"IRT Lexington Ave Line (4,5,6)","19,425,347","19,686,985","20,528,208","20,735,032","20,890,828","20,337,593","-553,235",-2.60%,10,Manhattan
86 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","3,238,616","3,300,644","3,408,922","3,515,551","3,474,343","3,478,317","3,974",0.10%,146,Manhattan
96 St ,"IRT Broadway Line (1,2,3,9)","11,784,341","12,108,040","12,582,947","13,108,304","13,008,596","12,700,397","-308,199",-2.40%,24,Manhattan
96 St ,"IRT Lexington Ave Line (4,6)","7,753,114","7,708,346","7,785,646","7,958,453","8,294,978","8,004,488","-290,490",-3.50%,49,Manhattan
96 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","2,775,904","2,829,949","2,979,535","3,089,701","3,084,906","3,044,779","-40,127",-1.30%,169,Manhattan
Astor Place ,"IRT Lexington Ave Line (4,6)","5,571,077","5,535,996","5,775,276","5,751,688","5,447,655","5,271,496","-176,159",-3.20%,86,Manhattan
Bowery ,"BMT Nassau Street Line (J,M,Z)","991,686","968,629","970,576","1,057,000","1,184,920","1,223,959","39,039",3.30%,333,Manhattan
Bowling Green ,"IRT Lexington Ave Line (4,5)","7,793,614","7,990,789","9,081,649","10,261,064","9,153,462","8,870,811","-282,651",-3.10%,39,Manhattan
Broad St ,"BMT Nassau Street Line (J,M,Z)","1,473,717","1,315,012","1,436,506","1,662,905","1,834,780","2,064,292","229,512",12.50%,241,Manhattan
Broadway-Lafayette St/Bleecker St ,"IND 6th Ave Line (B,D,F,V) & IRT Lexington Ave Line (4,6)","11,651,990","11,792,114","12,560,629","12,913,327","12,666,868","12,405,639","-261,229",-2.10%,26,Manhattan
Brooklyn Bridge-City Hall/Chambers St ,"IRT Lexington Ave Line (4,5,6) & BMT Nassau Street Line (J,M,Z)","10,681,037","10,650,508","10,721,984","10,938,927","10,481,576","10,059,080","-422,496",-4.00%,30,Manhattan
Canal St ,"IRT 7th Ave Line (1,2,9)","1,785,923","1,727,415","1,787,110","1,859,071","1,830,920","1,801,063","-29,857",-1.60%,271,Manhattan
Canal St ,"IND 8th Ave Line (A,C,E)","5,646,937","5,612,068","5,922,371","6,013,138","6,011,243","5,753,945","-257,298",-4.30%,77,Manhattan
Canal St ,"IRT Lexington Ave Line (4,5,6) & BMT Nassau Street Line (J,M,Z) & BMT Broadway Line (N,Q,R,W)","15,577,018","15,529,659","15,227,139","15,104,077","15,094,135","15,274,896","180,761",1.20%,18,Manhattan
Cathedral Pkwy-110 St ,"IRT Broadway Line (1,9) ","4,440,822","4,491,643","4,557,743","4,301,285","4,280,482","4,160,302","-120,180",-2.80%,123,Manhattan
Cathedral Pkwy-110 St ,"IND 8th Ave Line or IND Central Park West Line (A,B,C)","2,166,542","2,207,790","2,301,545","2,351,549","2,376,166","2,354,421","-21,745",-0.90%,212,Manhattan
Central Park North-110 St ,"IRT 6th Ave Line or IRT Lenox Ave Line (2,3)","2,724,841","2,808,386","2,932,790","3,110,140","3,188,551","3,147,750","-40,801",-1.30%,163,Manhattan
Chambers St ,"IRT 7th Ave Line (1,2,3,9)","6,554,728","6,603,287","6,755,281","6,973,674","7,054,771","6,948,976","-105,795",-1.50%,62,Manhattan
Chambers St /Park Place ,"IND 8th Ave Line (A,C,E) & IRT 7th Ave Line (2,3)","15,458,781","15,364,366","15,641,210","16,088,983","16,910,084","16,079,624","-830,460",-4.90%,17,Manhattan
Christopher St-Sheridan Sq ,"IRT 7th Ave Line (1,2,9)","3,471,186","3,435,088","3,433,544","3,480,159","3,363,949","3,307,136","-56,813",-1.70%,156,Manhattan
City Hall ,"BMT Broadway Line (N,R,W) ","2,627,822","2,094,122","1,560,414","1,151,646","1,828,806","1,977,733","148,927",8.10%,256,Manhattan
Cortlandt St ,"IRT 7th Ave Line (1,9)",0,0,0,0,0,0,0,N/A,,Manhattan
Cortlandt St R subway W subway,"BMT Broadway Line (N,R,W)","1,640,638","2,062,289","1,601,732","1,500,040","2,713,532","4,270,036","1,556,504",57.40%,116,Manhattan
Delancey St/Essex St ,"IND 6th Ave Line (F) & BMT Nassau Street Line (J,M,Z)","7,172,867","7,280,936","7,759,914","7,909,365","8,226,975","8,458,101","231,126",2.80%,44,Manhattan
Dyckman St ,IRT Broadway Line (1),"1,212,678","1,231,954","2,094,538","2,298,848","2,317,843","2,410,021","92,178",4.00%,207,Manhattan
Dyckman St ,IND 8th Ave Line (A),"2,326,780","2,344,316","2,112,706","2,158,170","2,244,154","2,135,271","-108,883",-4.90%,232,Manhattan
East Broadway ,IND 6th Ave Line (F),"4,057,707","4,021,679","4,208,654","4,379,909","4,576,662","4,752,739","176,077",3.80%,101,Manhattan
Franklin St ,"IRT 7th Ave Line (1,2,9)","1,777,323","1,714,218","1,703,889","1,745,841","1,731,354","1,782,203","50,849",2.90%,275,Manhattan
Fulton St ,"IND 8th Ave Line (A,C) & BMT Nassau Street Line (J,M,Z) & IRT 7th Ave Line (2,3) & IRT Lexington Ave Line (4,5)","17,971,983","17,868,334","18,721,694","20,102,397","21,671,684","25,162,937","3,491,253",16.10%,7,Manhattan
Grand Central-42 St ,"IRT 42nd Street Shuttle (S) & IRT Lexington Ave Line (4,5,6) & IRT Queensboro Line (7)","42,795,505","42,984,249","44,893,301","46,074,652","46,737,564","46,121,509","-616,055",-1.30%,2,Manhattan
Grand St ,"IND 6th Ave Line (B, D)","7,770,139","7,658,249","7,994,060","8,131,543","8,010,864","7,942,505","-68,359",-0.90%,51,Manhattan
Harlem-148 St ,IRT 6th Ave Line or IRT Lenox Ave Line (3),"1,101,666","1,110,842","1,171,372","1,209,633","1,269,910","1,220,407","-49,503",-3.90%,334,Manhattan
Houston St 1 subway,"IRT 7th Ave Line (1,2,9)","4,225,089","4,287,926","4,510,538","4,562,690","4,377,409","4,375,993","-1,416",0.00%,111,Manhattan
Inwood-207 St A subway,IND 8th Ave Line (A),"3,079,573","2,795,992","2,897,438","2,981,271","3,068,931","2,904,915","-164,016",-5.30%,178,Manhattan
Lexington Av/59 St ,"IRT Lexington Ave Line (4,5,6) & BMT Broadway Line (N,R,W)","20,377,141","20,628,942","21,282,767","21,557,198","21,407,792","21,000,635","-407,157",-1.90%,9,Manhattan
Lexington Av-53 St/51 St ,"IRT Lexington Ave Line (4,5,6) & IND Queens Blvd Line (E,V)","18,948,032","19,280,036","20,262,110","20,513,370","20,479,923","19,929,405","-550,518",-2.70%,11,Manhattan
Lexington Av-63 St ,"IND 63 Street Line (F,Q)","4,722,939","4,566,850","4,462,467","4,479,963","4,718,159","5,033,950","315,791",6.70%,93,Manhattan
Marble Hill-225 St ,"IRT Broadway Line (1,9)","1,476,489","1,721,707","1,725,406","1,846,582","1,809,998","1,777,035","-32,963",-1.80%,276,Manhattan
Prince St ,"BMT Broadway Line (N,Q,R,W)","5,603,783","5,508,110","5,209,433","5,311,765","5,386,641","5,314,922","-71,719",-1.30%,85,Manhattan
Rector St ,"IRT 7th Ave Line (1,9)","2,636,681","3,055,453","3,398,383","3,393,420","3,042,815","2,805,381","-237,434",-7.80%,185,Manhattan
Rector St ,"BMT Broadway Line (N,R,W)","2,413,512","2,053,706","1,524,110","1,116,833","1,896,968","2,038,348","141,380",7.50%,244,Manhattan
